title,abstract,keywords,authors,url,from_source
The Parameterized Complexity of Network Microaggregation,"Microaggregation is a classical statistical disclosure control technique which requires the input data to be partitioned into clusters while adhering to specified size constraints. We provide novel exact algorithms and lower bounds for the task of microaggregating a given network while considering both unrestricted and connected clusterings, and analyze these from the perspective of the parameterized complexity paradigm. Altogether, our results assemble a complete complexity-theoretic picture for the network microaggregation problem with respect to the most natural parameterizations of the problem, including input-specified parameters capturing the size and homogeneity of the clusters as well as the treewidth and vertex cover number of the network.","[""KRR: Computational Complexity of Reasoning"", ""CSO: Other Foundations of Constraint Satisfaction & Optimization"", ""DMKM: Graph Mining"", ""Social Network Analysis & Community Mining"", ""GTEP: Other Foundations of Game Theory & Economic Paradigms"", ""ML: Clustering""]","[""V\u00e1clav Bla\u017eej"", ""Robert Ganian"", ""Du\u0161an Knop"", ""Jan Pokorn\u00fd"", ""\u0160imon Schierreich"", ""Kirill Simonov""]",https://ojs.aaai.org/index.php/AAAI/article/view/25771/25543,AAAI
Graph Knows Unknowns: Reformulate Zero-Shot Learning as Sample-Level Graph Recognition,"Zero-shot learning (ZSL) is an extreme case of transfer learning that aims to recognize samples (e.g., images) of unseen classes relying on a train-set covering only seen classes and a set of auxiliary knowledge (e.g., semantic descriptors). Existing methods usually resort to constructing a visual-to-semantics mapping based on features extracted from each whole sample. However, since the visual and semantic spaces are inherently independent and may exist in different manifolds, these methods may easily suffer from the domain bias problem due to the knowledge transfer from seen to unseen classes. Unlike existing works, this paper investigates the fine-grained ZSL from a novel perspective of sample-level graph. Specifically, we decompose an input into several fine-grained elements and construct a graph structure per sample to measure and utilize element-granularity relations within each sample. Taking advantage of recently developed graph neural networks (GNNs), we formulate the ZSL problem to a graph-to-semantics mapping task, which can better exploit element-semantics correlation and local sub-structural information in samples. Experimental results on the widely used benchmark datasets demonstrate that the proposed method can mitigate the domain bias problem and achieve competitive performance against other representative methods.","[""ML: Transfer"", ""Domain Adaptation"", ""Multi-Task Learning"", ""ML: Applications"", ""ML: Classification and Regression"", ""ML: Representation Learning""]","[""Jingcai Guo"", ""Song Guo"", ""Qihua Zhou"", ""Ziming Liu"", ""Xiaocheng Lu"", ""Fushuo Huo""]",https://ojs.aaai.org/index.php/AAAI/article/view/25942/25714,AAAI
Extracting Semantic-Dynamic Features for Long-Term Stable Brain Computer Interface,"Brain-computer Interface (BCI) builds a neural signal to the motor command pathway, which is a prerequisite for the realization of neural prosthetics. However, a long-term stable BCI suffers from the neural data drift across days while retraining the BCI decoder is expensive and restricts its application scenarios. Recent solutions of neural signal recalibration treat the continuous neural signals as discrete, which is less effective in temporal feature extraction. Inspired by the observation from biologists that low-dimensional dynamics could describe high-dimensional neural signals, we model the underlying neural dynamics and propose a semantic-dynamic feature that represents the semantics and dynamics in a shared feature space facilitating the BCI recalibration. Besides, we present the joint distribution alignment instead of the common used marginal alignment strategy, dealing with the various complex changes in neural data distribution. Our recalibration approach achieves state-of-the-art performance on the real neural data of two monkeys in both classification and regression tasks. Our approach is also evaluated on a simulated dataset, which indicates its robustness in dealing with various common causes of neural signal instability.","[""HAI: Brain-Sensing and Analysis"", ""HAI: Applications""]","[""Tao Fang"", ""Qian Zheng"", ""Yu Qi"", ""Gang Pan""]",https://ojs.aaai.org/index.php/AAAI/article/view/25738/25510,AAAI
SR-AnoGAN: You Never Detect Alone. Super Resolution in Anomaly Detection (Student Abstract),"Despite the advance in deep learning algorithms, implementing supervised learning algorithms in medical datasets is difficult owing to the medical data's properties. This paper proposes SR-AnoGAN, which could generate higher resolution images and conduct anomaly detection more efficiently than AnoGAN. The most distinctive part of the proposed model is incorporating CNN and SRGAN into AnoGAN for reconstructing high-resolution images. Experimental results from X-ray datasets(pneumonia, covid-19) verify that the SR-AnoGAN outperforms the previous AnoGAN model through qualitative and quantitative approaches. Therefore, this paper shows the possibility of resolving data imbalance problems prevalent in the medical field, and proposing more precise diagnosis.","[""Deep Learning"", ""Anomaly Detection"", ""GAN"", ""Unsupervised Learning"", ""X-ray""]","[""Minjong Cheon""]",https://ojs.aaai.org/index.php/AAAI/article/view/26957/26729,AAAI
Fast Converging Anytime Model Counting,"Model counting is a fundamental problem which has been influential in many applications, from artificial intelligence to formal verification. Due to the intrinsic hardness of model counting, approximate techniques have been developed to solve real-world instances of model counting. This paper designs a new anytime approach called PartialKC for approximate model counting. The idea is a form of partial knowledge compilation to provide an unbiased estimate of the model count which can converge to the exact count. Our empirical analysis demonstrates that PartialKC achieves significant scalability and accuracy over prior state-of-the-art approximate counters, including satss and STS. Interestingly, the empirical results show that PartialKC reaches convergence for many instances and therefore provides exact model counting performance comparable to state-of-the-art exact counters.","[""CSO: Solvers and Tools"", ""CSO: Satisfiability"", ""KRR: Automated Reasoning and Theorem Proving"", ""RU: Other Foundations of Reasoning Under Uncertainty"", ""SO: Sampling/Simulation-Based Search""]","[""Yong Lai"", ""Kuldeep S. Meel"", ""Roland H.C. Yap""]",https://ojs.aaai.org/index.php/AAAI/article/view/25517/25289,AAAI
Human-in-the-Loop Vehicle ReID,"Vehicle ReID has been an active topic in computer vision, with a substantial number of deep neural models proposed as end-to-end solutions. In this paper, we solve the problem from a new perspective and present an interesting variant called human-in-the-loop vehicle ReID to leverage interactive (and possibly wrong) human feedback signal for performance enhancement. Such human-machine cooperation mode is orthogonal to existing ReID models. To avoid incremental training overhead, we propose an Interaction ReID Network (IRIN) that can directly accept the feedback signal as an input and adjust the embedding of query image in an online fashion. IRIN is offline trained by simulating the human interaction process, with multiple optimization strategies to fully exploit the feedback signal. Experimental results show that even by interacting  with flawed feedback generated by non-experts, IRIN still outperforms state-of-the-art ReID models by a considerable margin. If the feedback contains no false positive, IRIN boosts the mAP in Veri776 from 81.6% to 95.2% with only 5 rounds of interaction per query image.","[""HAI: Human-in-the-Loop Machine Learning"", ""CV: Applications"", ""CV: Image and Video Retrieval""]","[""Zepeng Li"", ""Dongxiang Zhang"", ""Yanyan Shen"", ""Gang Chen""]",https://ojs.aaai.org/index.php/AAAI/article/view/25747/25519,AAAI
Layout-Aware Dreamer for Embodied Visual Referring Expression Grounding,"In this work, we study the problem of Embodied Referring Expression Grounding, where an agent needs to navigate in a previously unseen environment and localize a remote object described by a concise high-level natural language instruction. When facing such a situation, a human tends to imagine what the destination may look like and to explore the environment based on prior knowledge of the environmental layout, such as the fact that a bathroom is more likely to be found near a bedroom than a kitchen. We have designed an autonomous agent called Layout-aware Dreamer (LAD), including two novel modules, that is, the Layout Learner and the Goal Dreamer to mimic this cognitive decision process. The Layout Learner learns to infer the room category distribution of neighboring unexplored areas along the path for coarse layout estimation, which effectively introduces layout common sense of room-to-room transitions to our agent. To learn an effective exploration of the environment, the Goal Dreamer imagines the destination beforehand. Our agent achieves new state-of-the-art performance on the public leaderboard of REVERIE dataset in challenging unseen test environments with improvement on navigation success rate (SR) by 4.02% and remote grounding success (RGS) by 3.43% comparing to previous previous state of the art. The code
is released at https://github.com/zehao-wang/LAD.","[""CV: Language and Vision"", ""CV: Multi-modal Vision""]","[""Mingxiao Li"", ""Zehao Wang"", ""Tinne Tuytelaars"", ""Marie-Francine Moens""]",https://ojs.aaai.org/index.php/AAAI/article/view/25223/24995,AAAI
Incomplete Multi-View Multi-Label Learning via Label-Guided Masked View- and Category-Aware Transformers,"As we all know, multi-view data is more expressive than single-view data and multi-label annotation enjoys richer supervision information than single-label, which makes multi-view multi-label learning widely applicable for various pattern recognition tasks. In this complex representation learning problem, three main challenges can be characterized as follows: i) How to learn consistent representations of samples across all views? ii) How to exploit and utilize category correlations of multi-label to guide inference? iii) How to avoid the negative impact resulting from the incompleteness of views or labels? To cope with these problems, we propose a general multi-view multi-label learning framework named label-guided masked view- and category-aware transformers in this paper. First, we design two transformer-style based modules for cross-view features aggregation and multi-label classification, respectively. The former aggregates information from different views in the process of extracting view-specific features, and the latter learns subcategory embedding to improve classification performance. Second, considering the imbalance of expressive power among views, an adaptively weighted view fusion module is proposed to obtain view-consistent embedding features. Third, we impose a label manifold constraint in sample-level representation learning to maximize the utilization of supervised information. Last but not least, all the modules are designed under the premise of incomplete views and labels, which makes our method adaptable to arbitrary multi-view and multi-label data. Extensive experiments on five datasets confirm that our method has clear advantages over other state-of-the-art methods.","[""ML: Multi-Instance/Multi-View Learning"", ""ML: Multi-Class/Multi-Label Learning & Extreme Classification"", ""ML: Multimodal Learning"", ""ML: Representation Learning""]","[""Chengliang Liu"", ""Jie Wen"", ""Xiaoling Luo"", ""Yong Xu""]",https://ojs.aaai.org/index.php/AAAI/article/view/26060/25832,AAAI
Incremental Image De-raining via Associative Memory,"While deep learning models have achieved the state-of-the-art performance on single-image rain removal, most methods only consider learning fixed mapping rules on the single synthetic dataset for lifetime. This limits the real-life application as iterative optimization may change mapping rules and training samples. However, when models learn a sequence of datasets in multiple incremental steps, they are susceptible to catastrophic forgetting that adapts to new incremental episodes while failing to preserve previously acquired mapping rules. In this paper, we argue the importance of sample diversity in the episodes on the iterative optimization, and propose a novel memory management method, Associative Memory, to achieve incremental image de-raining. It bridges connections between current and past episodes for feature reconstruction by sampling domain mappings of past learning steps, and guides the learning to trace the current pathway back to the historical environment without storing extra data. Experiments demonstrate that our method can achieve better performance than existing approaches on both inhomogeneous and incremental datasets within the spectrum of highly compact systems.","[""CV: Computational Photography"", ""Image & Video Synthesis""]","[""Yi Gu"", ""Chao Wang"", ""Jie Li""]",https://ojs.aaai.org/index.php/AAAI/article/view/25145/24917,AAAI
Generating Transferable 3D Adversarial Point Cloud via Random Perturbation Factorization,"Recent studies have demonstrated that existing deep neural networks (DNNs) on 3D point clouds are vulnerable to adversarial examples, especially under the white-box settings where the adversaries have access to model parameters. However, adversarial 3D point clouds generated by existing white-box methods have limited transferability across different DNN architectures. They have only minor threats in real-world scenarios under the black-box settings where the adversaries can only query the deployed victim model. In this paper, we revisit the transferability of adversarial 3D point clouds. We observe that an adversarial perturbation can be randomly factorized into two sub-perturbations, which are also likely to be adversarial perturbations. It motivates us to consider the effects of the perturbation and its sub-perturbations simultaneously to increase the transferability for sub-perturbations also contain helpful information. In this paper, we propose a simple yet effective attack method to generate more transferable adversarial 3D point clouds. Specifically, rather than simply optimizing the loss of perturbation alone, we combine it with its random factorization. We conduct experiments on benchmark dataset, verifying our method's effectiveness in increasing transferability while preserving high efficiency.","[""CV: 3D Computer Vision"", ""CV: Bias"", ""Fairness & Privacy"", ""CV: Adversarial Attacks & Robustness""]","[""Bangyan He"", ""Jian Liu"", ""Yiming Li"", ""Siyuan Liang"", ""Jingzhi Li"", ""Xiaojun Jia"", ""Xiaochun Cao""]",https://ojs.aaai.org/index.php/AAAI/article/view/25154/24926,AAAI
Wiener Graph Deconvolutional Network Improves Graph Self-Supervised Learning,"Graph self-supervised learning (SSL) has been vastly employed to learn representations from unlabeled graphs. Existing methods can be roughly divided into predictive learning and contrastive learning, where the latter one attracts more research attention with better empirical performance. We argue that, however, predictive models weaponed with powerful decoder could achieve comparable or even better representation power than contrastive models. In this work, we propose a Wiener Graph Deconvolutional Network (WGDN), an augmentation-adaptive decoder empowered by graph wiener filter to perform information reconstruction. Theoretical analysis proves the superior reconstruction ability of graph wiener filter. Extensive experimental results on various datasets demonstrate the effectiveness of our approach.","[""ML: Graph-based Machine Learning"", ""ML: Unsupervised & Self-Supervised Learning""]","[""Jiashun Cheng"", ""Man Li"", ""Jia Li"", ""Fugee Tsung""]",https://ojs.aaai.org/index.php/AAAI/article/view/25870/25642,AAAI
"Script, Language, and Labels: Overcoming Three Discrepancies for Low-Resource Language Specialization","Although multilingual pretrained models (mPLMs) enabled support of various natural language processing in diverse languages, its limited coverage of 100+ languages lets 6500+ languages remain â€˜unseenâ€? One common approach for an unseen language is specializing the model for it as target, by performing additional masked language modeling (MLM) with the target language corpus. However, we argue that, due to the discrepancy from multilingual MLM pretraining, a naive specialization as such can be suboptimal. Specifically, we pose three discrepancies to overcome. Script and linguistic discrepancy of the target language from the related seen languages, hinder a positive transfer, for which we propose to maximize representation similarity, unlike existing approaches maximizing overlaps. In addition, label space for MLM prediction can vary across languages, for which we propose to reinitialize top layers for a more effective adaptation. Experiments over four different language families and three tasks shows that our method improves the task performance of unseen languages with statistical significance, while previous approach fails to.","[""SNLP: Machine Translation & Multilinguality"", ""SNLP: Language Models"", ""SNLP: Learning & Optimization for SNLP"", ""SNLP: Syntax -- Tagging"", ""Chunking & Parsing""]","[""Jaeseong Lee"", ""Dohyeon Lee"", ""Seung-won Hwang""]",https://ojs.aaai.org/index.php/AAAI/article/view/26528/26300,AAAI
Practical Parallel Algorithms for Submodular Maximization Subject to a Knapsack Constraint with Nearly Optimal Adaptivity,"Submodular maximization has wide applications in machine learning and data mining, where massive datasets have brought the great need for designing efficient and parallelizable algorithms. One measure of the parallelizability of a submodular maximization algorithm is its adaptivity complexity, which indicates the number of sequential rounds where a polynomial number of queries to the objective function can be executed in parallel. In this paper, we study the problem of non-monotone submodular maximization subject to a knapsack constraint, and propose the first combinatorial algorithm achieving an (8+epsilon)-approximation under O(log n) adaptive complexity, which is optimal up to a factor of O(loglog n). Moreover, under slightly larger adaptivity, we also propose approximation algorithms with nearly optimal query complexity of O(n), while achieving better approximation ratios. We show that our algorithms can also be applied to the special case of submodular maximization subject to a cardinality constraint, and achieve performance bounds comparable with those of state-of-the-art algorithms. Finally, the effectiveness of our approach is demonstrated by extensive experiments on real-world applications.","[""ML: Optimization""]","[""Shuang Cui"", ""Kai Han"", ""Jing Tang"", ""He Huang"", ""Xueying Li"", ""Aakas Zhiyuli""]",https://ojs.aaai.org/index.php/AAAI/article/view/25885/25657,AAAI
Local Justice and Machine Learning: Modeling and Inferring Dynamic Ethical Preferences toward Allocations,"We consider a setting in which a social planner has to make a sequence of decisions to allocate scarce resources in a high-stakes domain. Our goal is to understand stakeholders' dynamic moral preferences toward such allocational policies. In particular, we evaluate the sensitivity of moral preferences to the history of allocations and their perceived future impact on various socially salient groups.  We propose a mathematical model to capture and infer such dynamic moral preferences. We illustrate our model through small-scale human-subject experiments focused on the allocation of scarce medical resource distributions during a hypothetical viral epidemic. We observe that participants' preferences are indeed history- and impact-dependent. Additionally, our preliminary experimental results reveal intriguing patterns specific to medical resources---a topic that is particularly salient against the backdrop of the global covid-19 pandemic.","[""HAI: Learning Human Values and Preferences"", ""PEAI: Bias"", ""Fairness & Equity""]","[""Violet (Xinying) Chen"", ""Joshua Williams"", ""Derek Leben"", ""Hoda Heidari""]",https://ojs.aaai.org/index.php/AAAI/article/view/25737/25509,AAAI
Generalized Category Discovery with Decoupled Prototypical Network,"Generalized Category Discovery (GCD) aims to recognize both known and novel categories from a set of unlabeled data, based on another dataset labeled with only known categories. Without considering differences between known and novel categories, current methods learn about them in a coupled manner, which can hurt model's generalization and discriminative ability. Furthermore, the coupled training approach prevents these models transferring category-specific knowledge explicitly from labeled data to unlabeled data, which can lose high-level semantic information and impair model performance. To mitigate above limitations, we present a novel model called Decoupled Prototypical Network (DPN). By formulating a bipartite matching problem for category prototypes, DPN can not only decouple known and novel categories to achieve different training targets effectively, but also align known categories in labeled and unlabeled data to transfer category-specific knowledge explicitly and capture high-level semantics. Furthermore, DPN can learn more discriminative features for both known and novel categories through our proposed Semantic-aware Prototypical Learning (SPL). Besides capturing meaningful semantic information, SPL can also alleviate the noise of hard pseudo labels through semantic-weighted soft assignment. Extensive experiments show that DPN outperforms state-of-the-art models by a large margin on all evaluation metrics across multiple benchmark datasets. Code and data are available at https://github.com/Lackel/DPN.","[""SNLP: Text Mining"", ""SNLP: Text Classification""]","[""Wenbin An"", ""Feng Tian"", ""Qinghua Zheng"", ""Wei Ding"", ""Qianying Wang"", ""Ping Chen""]",https://ojs.aaai.org/index.php/AAAI/article/view/26475/26247,AAAI
Poisoning-Based Backdoor Attacks in Computer Vision,"Recent studies demonstrated that the training process of deep neural networks (DNNs) is vulnerable to backdoor attacks if third-party training resources (e.g., samples) are adopted. Specifically, the adversaries intend to embed hidden backdoors into DNNs, where the backdoor can be activated by pre-defined trigger patterns and leading malicious model predictions. My dissertation focuses on poisoning-based backdoor attacks in computer vision. Firstly, I study and propose more stealthy and effective attacks against image classification tasks in both physical and digital spaces. Secondly, I reveal the backdoor threats in visual object tracking, which is representative of critical video-related tasks. Thirdly, I explore how to exploit backdoor attacks as watermark techniques for positive purposes. I design a Python toolbox (i.e., BackdoorBox) that implements representative and advanced backdoor attacks and defenses under a unified and flexible framework, based on which to provide a comprehensive benchmark of existing methods at the end.","[""Backdoor Attack"", ""Backdoor Learning"", ""Data Poisoning"", ""Trustworthy ML"", ""AI Security""]","[""Yiming Li""]",https://ojs.aaai.org/index.php/AAAI/article/view/26921/26693,AAAI
